iter	Logloss
0	0.6832711469
1	0.6718766917
2	0.6612278999
3	0.6524072052
4	0.6410113222
5	0.632337177
6	0.6223116354
7	0.6120546095
8	0.6045511451
9	0.5950975185
10	0.5870866389
11	0.5779765199
12	0.5693018407
13	0.5619948783
14	0.5529948665
15	0.5447957918
16	0.5376362282
17	0.5285549413
18	0.5191184096
19	0.5115794673
20	0.5046705471
21	0.4976775433
22	0.4897970679
23	0.4817373729
24	0.4745233934
25	0.4679190807
26	0.4612419262
27	0.4538689446
28	0.4482555292
29	0.44190466
30	0.4367376723
31	0.4300275641
32	0.4230799363
33	0.4164587244
34	0.4114819454
35	0.4054615196
36	0.4008486346
37	0.3959295827
38	0.3917096414
39	0.3858830508
40	0.3809895239
41	0.376494892
42	0.3723817749
43	0.3673275825
44	0.3623706251
45	0.3583689798
46	0.3536707451
47	0.3491315668
48	0.3447445023
49	0.3402093645
50	0.3367279111
51	0.3327372065
52	0.3286117881
53	0.3244400481
54	0.3206094167
55	0.3167346135
56	0.3140128195
57	0.3098584702
58	0.3060765352
59	0.3027627862
60	0.2999647357
61	0.2959138395
62	0.2932459347
63	0.2897414587
64	0.286588816
65	0.2836856493
66	0.2808627074
67	0.278361902
68	0.2754308722
69	0.2723868583
70	0.2690895187
71	0.266551219
72	0.2631658674
73	0.2602118014
74	0.2567827937
75	0.2545127381
76	0.2520339131
77	0.2492168709
78	0.2466417226
79	0.2442100302
80	0.2414034444
81	0.2387429797
82	0.2358910303
83	0.2331247201
84	0.2312890822
85	0.2285929731
86	0.2258706989
87	0.223767838
88	0.221888354
89	0.2203221803
90	0.2179614498
91	0.2157418058
92	0.2133626104
93	0.2111809373
94	0.2091106003
95	0.2068811626
96	0.204879252
97	0.2031792537
98	0.2005523451
99	0.198518609
100	0.1964355401
101	0.1949123824
102	0.192953108
103	0.1912452889
104	0.1892762597
105	0.1878303544
106	0.1861339851
107	0.1845755384
108	0.182763751
109	0.1808641883
110	0.179512055
111	0.1778757952
112	0.1761518377
113	0.1745658326
114	0.1729974324
115	0.1720417226
116	0.1703847893
117	0.168604638
118	0.1670886654
119	0.1655545666
120	0.1638149105
121	0.16276354
122	0.1616367245
123	0.1600864694
124	0.1586731033
125	0.15750577
126	0.1562304853
127	0.1546600404
128	0.1536602446
129	0.1522056496
130	0.1511530017
131	0.150062826
132	0.1493461387
133	0.1481118167
134	0.1470070289
135	0.1458266862
136	0.1446080146
137	0.1432450588
138	0.1417343307
139	0.1406139907
140	0.1397110192
141	0.1386906703
142	0.1376622817
143	0.1369349981
144	0.136177145
145	0.1350591472
146	0.134350093
147	0.1331867403
148	0.1320472136
149	0.1312590484
150	0.1303376199
151	0.1293652988
152	0.1287013576
153	0.1278226461
154	0.1270338413
155	0.1260934361
156	0.1254581989
157	0.1244804419
158	0.1236766419
159	0.1226367355
160	0.1218838131
161	0.1208147393
162	0.1200281143
163	0.1191204783
164	0.1184720292
165	0.1177560903
166	0.1171263611
167	0.1162454667
168	0.1153173555
169	0.1145867693
170	0.1139561773
171	0.1131083446
172	0.1124332069
173	0.1118151634
174	0.1110720172
175	0.1103271867
176	0.1095943986
177	0.1085946331
178	0.1077929361
179	0.1068550975
180	0.1060152103
181	0.1054300196
182	0.1047866025
183	0.1041864291
184	0.1037269262
185	0.1031988028
186	0.1026279136
187	0.1020625274
188	0.1014523407
189	0.1007440722
190	0.1001582037
191	0.09958969699
192	0.09900998513
193	0.09831905777
194	0.09792804798
195	0.09720652485
196	0.09673192071
197	0.09617401899
198	0.09566439751
199	0.09506831943
200	0.09454963663
201	0.09390466548
202	0.09337552142
203	0.09276815537
204	0.09221608803
205	0.09168433932
206	0.09130733548
207	0.0907031756
208	0.09021057511
209	0.08957084054
210	0.08910864366
211	0.08862046761
212	0.0882190903
213	0.08777931834
214	0.08725691483
215	0.08685649493
216	0.08627173454
217	0.08588535229
218	0.08534076183
219	0.08499614326
